timeUTC, timeOffset, activityIndex, activityCount
1446240965, -4, 0.04800000, 0.04800000
1446240995, -4, 0.02771281, 0.03577709
1446241025, -4, 0.49831718, 0.13481839
1446241055, -4, 0.67844528, 0.16932808
1446241085, -4, 0.82953483, 0.09863062
1446241115, -4, 0.56794363, 0.07155418
1446241145, -4, 0.56794363, 0.07155418
1446241175, -4, 0.81222659, 0.14488617
1446241205, -4, 1.04576862, 0.25699806
1446241235, -4, 0.57998621, 0.18727520
1446241265, -4, 0.09600000, 0.06400000
1446241295, -4, 0.14310835, 0.07504665
1446241325, -4, 0.64059973, 0.21996364
1446241355, -4, 0.76966488, 0.20614558
1446241385, -4, 0.44369358, 0.14310835
1446241415, -4, 0.54211438, 0.15178932
1446241445, -4, 0.67919952, 0.19266552
1446241475, -4, 0.68370754, 0.13096565
1446241505, -4, 0.06596969, 0.05768882
1446241535, -4, 0.61781549, 0.18795744
1446241565, -4, 0.58961684, 0.15758173
1446241595, -4, 0.53617907, 0.12800001
1446241625, -4, 0.52775753, 0.17672578
1446241655, -4, 0.71428847, 0.17008233
1446241685, -4, 0.58086830, 0.14039943
1446241715, -4, 0.68220818, 0.17672578
1446241745, -4, 0.76583028, 0.20983803
1446241775, -4, 0.40917477, 0.14130817
1446241805, -4, 0.40445518, 0.16079801
1446241835, -4, 0.12496399, 0.08158431
1446241865, -4, 0.07504665, 0.06596969
1446241895, -4, 0.17158088, 0.08763561
1446241925, -4, 0.08908423, 0.06788225
1446241955, -4, 0.55124587, 0.18242806
1446241985, -4, 0.48504022, 0.14399999
1446242015, -4, 0.53617907, 0.10851728
1446242045, -4, 0.48924431, 0.16704491
1446242075, -4, 0.58961684, 0.16704491
1446242105, -4, 0.59695226, 0.15263027
1446242135, -4, 0.38533103, 0.13193938
1446242165, -4, 0.87708610, 0.24317895
1446242195, -4, 0.63316351, 0.20238577
1446242225, -4, 0.23893096, 0.07504665
1446242255, -4, 0.81772369, 0.19661129
1446242285, -4, 0.28576913, 0.10969047
1446242315, -4, 0.14399999, 0.07504665
1446242345, -4, 0.05306600, 0.05059644
1446242375, -4, 0.06596969, 0.05542563
1446242405, -4, 0.44050878, 0.12393547
1446242435, -4, 0.11973304, 0.06974238
1446242465, -4, 0.25996923, 0.10969047
1446242495, -4, 0.17744859, 0.06596969
1446242525, -4, 0.03919183, 0.03919183
1446242555, -4, 0.25095019, 0.10851728
1446242585, -4, 0.21166010, 0.08616263
1446242615, -4, 0.30103821, 0.07673331
1446242645, -4, 0.07155418, 0.06196773
1446242675, -4, 0.07332121, 0.05986652
1446242705, -4, 0.07673331, 0.06596969
1446242735, -4, 0.22342785, 0.07838367
1446242765, -4, 0.09991997, 0.07673331
1446242795, -4, 0.11085125, 0.07673331
1446242825, -4, 0.10244999, 0.05768882
1446242855, -4, 0.15676734, 0.07504665
1446242885, -4, 0.18659046, 0.09991997
1446242915, -4, 0.09732420, 0.06974238
1446242945, -4, 0.06974238, 0.05542563
1446242975, -4, 0.25600001, 0.07332121
1446243005, -4, 0.10491902, 0.06196773
1446243035, -4, 0.15178932, 0.06974238
1446243065, -4, 0.11085125, 0.07838367
1446243095, -4, 0.12185237, 0.06400000
1446243125, -4, 0.12393547, 0.07673331
1446243155, -4, 0.53760952, 0.09732420
1446243185, -4, 0.70290822, 0.10369185
1446243215, -4, 0.33752036, 0.11757551
1446243245, -4, 0.33676106, 0.10244999
1446243275, -4, 0.30231109, 0.10851728
1446243305, -4, 0.20738371, 0.08763561
1446243335, -4, 0.85326666, 0.20738371
1446243365, -4, 0.49028972, 0.14039943
1446243395, -4, 0.52092224, 0.15919799
1446243425, -4, 0.82659787, 0.18931456
1446243455, -4, 0.73495579, 0.17306647
1446243485, -4, 0.05306600, 0.05306600
1446243515, -4, 0.45508680, 0.08158431
1446243545, -4, 0.09732420, 0.05768882
1446243575, -4, 0.13763720, 0.07504665
1446243605, -4, 0.00000000, 0.00000000
1446243635, -4, 0.72742838, 0.18659046
1446243665, -4, 0.83399761, 0.18242806
1446243695, -4, 0.07332121, 0.07838367
1446243725, -4, 0.06196773, 0.05768882
1446243755, -4, 0.04525483, 0.04233202
1446243785, -4, 0.06974238, 0.05986652
1446243815, -4, 0.05059644, 0.04525483
1446243845, -4, 0.04525483, 0.04525483
1446243875, -4, 0.05768882, 0.05542563
1446243905, -4, 0.03200000, 0.03919183
1446243935, -4, 0.07504665, 0.06196773
1446243965, -4, 0.07155418, 0.05306600
1446243995, -4, 0.05306600, 0.05059644
1446244025, -4, 0.05986652, 0.05059644
1446244055, -4, 0.06196773, 0.05542563
1446244085, -4, 0.07504665, 0.06788225
1446244115, -4, 0.05542563, 0.05542563
1446244145, -4, 0.06400000, 0.05768882
1446244175, -4, 0.03919183, 0.04525483
1446244205, -4, 0.05059644, 0.05306600
1446244235, -4, 0.05059644, 0.04800000
1446244265, -4, 0.04525483, 0.04525483
1446244295, -4, 0.06196773, 0.05986652
1446244325, -4, 0.05059644, 0.04233202
1446244355, -4, 0.06196773, 0.05542563
1446244385, -4, 0.04800000, 0.05306600
1446244415, -4, 0.09600000, 0.06974238
1446244445, -4, 0.09191300, 0.07504665
1446244475, -4, 0.06974238, 0.06196773
1446244505, -4, 0.50999606, 0.14837790
1446244535, -4, 0.90198004, 0.14130817
1446244565, -4, 0.18590321, 0.09191300
1446244595, -4, 0.35090739, 0.10491902
1446244625, -4, 0.78138340, 0.18521339
1446244655, -4, 0.76783329, 0.21166010
1446244685, -4, 1.56006157, 0.28170907
1446244715, -4, 0.94481319, 0.24106431
1446244745, -4, 1.30485857, 0.25749564
1446244775, -4, 0.47786191, 0.18312837
1446244805, -4, 0.56681567, 0.18795744
1446244835, -4, 0.65969688, 0.17527121
1446244865, -4, 0.70545304, 0.17744859
1446244895, -4, 0.59887898, 0.16079801
1446244925, -4, 2.33747888, 0.37896702
1446244955, -4, 2.10981703, 0.42089429
1446244985, -4, 2.20742011, 0.42962310
1446245015, -4, 2.26132703, 0.44542116
1446245045, -4, 2.24758720, 0.44311625
1446245075, -4, 2.16183615, 0.44166955
1446245105, -4, 2.28861523, 0.45027992
1446245135, -4, 2.24952269, 0.45705143
1446245165, -4, 2.27605271, 0.45027992
1446245195, -4, 2.38877368, 0.45621046
1446245225, -4, 2.48056769, 0.45900762
1446245255, -4, 2.32749128, 0.45900762
1446245285, -4, 2.29364347, 0.45084810
1446245315, -4, 2.12709761, 0.44282728
1446245345, -4, 2.18421984, 0.44369358
1446245375, -4, 2.20921707, 0.44570842
1446245405, -4, 2.29971814, 0.46151057
1446245435, -4, 2.31242895, 0.46344796
1446245465, -4, 2.11817288, 0.44714203
1446245495, -4, 2.19141603, 0.43817803
1446245525, -4, 2.30594373, 0.45480546
1446245555, -4, 2.34731507, 0.45056409
1446245585, -4, 2.16892958, 0.43111020
1446245615, -4, 2.30305529, 0.46757245
1446245645, -4, 2.45671654, 0.47625202
1446245675, -4, 1.97889662, 0.40350464
1446245705, -4, 0.72124338, 0.16238226
1446245735, -4, 1.36084676, 0.22796491
1446245765, -4, 0.43788582, 0.12598413
1446245795, -4, 1.01961565, 0.20552371
1446245825, -4, 0.17672578, 0.11973304
1446245855, -4, 0.64099920, 0.17600000
1446245885, -4, 0.30231109, 0.12699607
1446245915, -4, 0.89642847, 0.23130931
1446245945, -4, 1.06107867, 0.23569472
1446245975, -4, 0.68277085, 0.22342785
1446246005, -4, 0.53784758, 0.20047942
1446246035, -4, 0.50266492, 0.18382600
1446246065, -4, 1.83860815, 0.39710957
1446246095, -4, 1.96585250, 0.37862912
1446246125, -4, 0.54045904, 0.19595918
1446246155, -4, 0.31312618, 0.17306647
1446246185, -4, 0.34981138, 0.18452100
1446246215, -4, 0.83415109, 0.21286616
1446246245, -4, 0.49002856, 0.19133218
1446246275, -4, 1.06059611, 0.25196826
