timeUTC,timeOffset,activityIndex,activityCount
1435594956,-5,0.349286566,
1435594986,-5,0.318226233,
1435595016,-5,0.281262965,
1435595046,-5,0.244038024,
1435595076,-5,0.211832163,
1435595106,-5,0.187727312,
1435595136,-5,0.171933398,
1435595166,-5,0.162435075,
1435595196,-5,0.156496824,
1435595226,-5,0.152315272,
1435595256,-5,0.150201126,
1435595286,-5,0.152920799,
1435595316,-5,0.165090865,
1435595346,-5,0.191721868,
1435595376,-5,0.236262699,
1435595406,-5,0.298716009,
1435595436,-5,0.374517432,
1435595466,-5,0.454719836,
1435595496,-5,0.527587686,
1435595526,-5,0.581154369,
1435595556,-5,0.605914272,
1435595586,-5,0.596824342,
1435595616,-5,0.554168963,
1435595646,-5,0.483330918,
1435595676,-5,0.393837221,
1435595706,-5,0.29803354,
1435595736,-5,0.209495603,
1435595766,-5,0.141101708,
1435595796,-5,0.1027591,
1435595826,-5,0.099140358,
1435595856,-5,0.128168214,
1435595886,-5,0.181080535,
1435595916,-5,0.244492553,
1435595946,-5,0.304054954,
1435595976,-5,0.34849635,
1435596006,-5,0.372496101,
1435596036,-5,0.377227712,
1435596066,-5,0.368465733,
1435596096,-5,0.353263528,
1435596126,-5,0.336868921,
1435596156,-5,0.32129904,
1435596186,-5,0.30602274,
1435596216,-5,0.290034619,
1435596246,-5,0.273890612,
1435596276,-5,0.260423436,
1435596306,-5,0.253708203,
1435596336,-5,0.256892405,
1435596366,-5,0.270161629,
1435596396,-5,0.290013066,
1435596426,-5,0.310305776,
1435596456,-5,0.324628579,
1435596486,-5,0.328911531,
1435596516,-5,0.323149051,
1435596546,-5,0.311549539,
1435596576,-5,0.301118252,
1435596606,-5,0.299239856,
1435596636,-5,0.311088388,
1435596666,-5,0.337679603,
1435596696,-5,0.375129887,
1435596726,-5,0.415391334,
1435596756,-5,0.448339799,
1435596786,-5,0.464709753,
1435596816,-5,0.459017457,
1435596846,-5,0.431472682,
1435596876,-5,0.388111259,
1435596906,-5,0.338973854,
1435596936,-5,0.294939083,
1435596966,-5,0.264420244,
1435596996,-5,0.251194775,
1435597026,-5,0.254109404,
1435597056,-5,0.268483472,
1435597086,-5,0.288268081,
1435597116,-5,0.307815635,
1435597146,-5,0.322569283,
1435597176,-5,0.328839808,
1435597206,-5,0.323473475,
1435597236,-5,0.304257245,
1435597266,-5,0.271279168,
1435597296,-5,0.2285784,
1435597326,-5,0.184890629,
1435597356,-5,0.152483093,
1435597386,-5,0.143985367,
1435597416,-5,0.16820762,
1435597446,-5,0.226625709,
1435597476,-5,0.312091546,
1435597506,-5,0.410432406,
1435597536,-5,0.504404021,
1435597566,-5,0.578511896,
1435597596,-5,0.62292323,
1435597626,-5,0.635168444,
1435597656,-5,0.619287571,
1435597686,-5,0.583118348,
1435597716,-5,0.53509765,
1435597746,-5,0.481993393,
1435597776,-5,0.428381662,
1435597806,-5,0.377703288,
1435597836,-5,0.333845916,
1435597866,-5,0.301876988,
1435597896,-5,0.287059439,
1435597926,-5,0.292392021,
1435597956,-5,0.316022109,
1435597986,-5,0.350294122,
1435598016,-5,0.383516851,
1435598046,-5,0.404086115,
1435598076,-5,0.405168846,
1435598106,-5,0.387613006,
1435598136,-5,0.359521675,
1435598166,-5,0.332591991,
1435598196,-5,0.316984848,
1435598226,-5,0.317197802,
1435598256,-5,0.330800993,
1435598286,-5,0.350362891,
1435598316,-5,0.367301824,
1435598346,-5,0.375652127,
1435598376,-5,0.374047209,
1435598406,-5,0.365376094,
1435598436,-5,0.354749773,
1435598466,-5,0.347052472,
1435598496,-5,0.345224814,
1435598526,-5,0.349751339,
1435598556,-5,0.359123665,
1435598586,-5,0.37070769,
1435598616,-5,0.381533819,
1435598646,-5,0.388900949,
1435598676,-5,0.390952296,
1435598706,-5,0.38735067,
1435598736,-5,0.379902003,
1435598766,-5,0.372645041,
1435598796,-5,0.370945524,
1435598826,-5,0.37955057,
1435598856,-5,0.400232694,
1435598886,-5,0.43015898,
1435598916,-5,0.462019747,
